City,Population,Lat,Long
Obertshausen,25307,50.0751,8.8573
Oberursel,47042,50.2025,8.5770
Ochtrup,20230,52.2057,7.1876
Oelde,29644,51.8297,8.1464
Oer-Erkenschwick,31838,51.6430,7.2595
Offenbach am Main,134170,50.0956,8.7761
Offenburg,61670,48.4735,7.9498
Olching,27927,48.2071,11.3335
Oldenburg,172830,53.15,8.217
Olpe,25015,51.0282,7.8503
Oranienburg,47752,52.7537,13.2367
Osnabrück,167366,52.2799,8.0472
Osterholz-Scharmbeck,30659,53.2269,8.7900
Osterode am Harz,21446,51.7294,10.2580
Ostfildern,39806,48.7288,9.2586
Ottobrunn,22430,48.0641,11.6652
Overath,27405,50.9329,7.2824
Paderborn,154755,51.7189,8.7575
Panketal,20854,52.6509,13.5408
Papenburg,38556,53.0726,7.4233
Passau,53907,48.5667,13.4319
Peine,51411,52.3204,10.2433
Petershagen,25222,52.3746,8.9649
Pfaffenhofen an der Ilm,26943,48.5275,11.5124
Pforzheim,127849,48.8922,8.6946
Pfungstadt,25231,49.8029,8.6035
Pinneberg,44279,53.6545,9.7938
Pirmasens,40682,49.2016,7.6002
Pirna,39054,50.9625,13.9419
Plauen,64763,50.4976,12.1369
Plettenberg,24954,51.2096,7.8702
Porta Westfalica,36374,52.2253,8.9402
Potsdam,185750,52.3906,13.0645
Puchheim,21420,48.1632,11.3422
Pulheim,55530,50.9996,6.8077
Quedlinburg,23313,51.78954,11.14192
Quickborn,22165,53.7289,9.9079
Radebeul,34096,51.1116,13.6494
Radevormwald,22222,51.2016,7.3591
Radolfzell am Bodensee,32043,47.7452,8.9669
Rastatt,51310,48.8591,8.2059
Rastede,23180,53.2445,8.2005
Rathenow,24597,52.6048,12.3379
Ratingen,87388,51.2964,6.8402
Ravensburg,51482,47.7783,9.6121
Recklinghausen,111734,51.6141,7.1979
Rees,21475,51.7671,6.4015
Regensburg,157443,49.0134,12.1016
Reichenbach im Vogtland,20371,50.6175,12.2990
Reinbek,28536,53.5170,10.2443
Remscheid,112613,51.1787,7.1897
Remseck am Neckar,26549,48.8767,9.2618
Rendsburg,29743,54.3081,9.6607
Reutlingen,117547,48.5069,9.2038
Rheda-Wiedenbrück,49486,51.8459,8.2997
Rheinbach,27102,50.6253,6.9477
Rheinberg,31150,51.5461,6.5899
Rheine,77893,52.2816,7.4434
Rheinfelden,33581,47.5896,7.7688
Rheinstetten,20659,48.9618,8.2922
Riedstadt,24209,49.8432,8.4672
Riesa,29076,51.3118,13.2677
Rietberg,29919,51.8167,8.4342
Rinteln,25721,52.2020,9.0760
Rodgau,46426,50.0013,8.8769
Ronnenberg,24570,52.3182,9.6546
Rosenheim,64403,47.8571,12.1181
Rostock,209920,54.0924,12.0991
Rotenburg,22656,53.0852,9.3869
Roth,25367,49.2456,11.0912
Rottenburg am Neckar,44653,48.4791,8.9409
Rottweil,25513,48.1653,8.6285
Rudolstadt,24749,50.7183,11.3337
Rödermark,28834,49.9729,8.8302
Rösrath,28889,50.9045,7.1835
Rüsselsheim am Main,67277,49.9887,8.4217
Saalfeld/Saale,29224,50.6493,11.3662
Saarbrücken,181959,49.2402,6.9969
Saarlouis,34717,49.3135,6.7523
Salzgitter,104548,52.1379,10.3899
Salzkotten,25311,51.6670,8.6011
Salzwedel,23543,52.8503,11.1647
Sangerhausen,25441,51.4725,11.2995
Sankt Augustin,56369,50.7695,7.1876
Schifferstadt,20615,49.3829,8.3767
Schleswig,25832,54.5239,9.5632
Schloß Holte-Stukenbrock,27467,51.9,8.617
Schmalkalden,20065,50.7234,10.4546
Schmallenberg,24878,51.1526,8.2908
Schopfheim,20163,47.6519,7.8236
Schorndorf,40204,48.8015,9.5296
Schortens,20797,53.5381,7.9443
Schramberg,21125,48.2281,8.3845
Schwabach,41227,49.3289,11.0245
Schwandorf,29990,49.3199,12.1091
Schwanewede,20661,53.2231,8.5890
Schwedt/Oder,33524,53.0625,14.2735
Schweinfurt,54675,50.0492,10.2194
Schwelm,28723,51.2883,7.2911
Schwerin,98596,53.6355,11.4012
Schwerte,46658,51.4289,7.5656
Schwetzingen,22062,49.3852,8.5722
Schwäbisch Gmünd,62325,48.7994,9.8046
Schwäbisch Hall,41898,49.1125,9.7373
Schönebeck,30389,52.0091,11.7470
Seelze,34742,52.3949,9.5939
Seevetal,42449,53.3807,10.0301
Sehnde,24157,52.3172,9.9673
Seligenstadt,21568,50.0437,8.9711
Selm,26163,51.6957,7.4676
Senden,20895,51.8588,7.4826
Senden,22896,48.3256,10.0493
Senftenberg,23405,51.5190,13.9969
Siegburg,42049,50.7998,7.2075
Siegen,102560,50.8838,8.0210
Sindelfingen,64995,48.7075,9.0044
Singen,49441,47.7671,8.8722
Sinsheim,36601,49.2489,8.8885
Soest,48607,51.5711,8.1058
Solingen,160643,51.1652,7.0671
Soltau,21808,52.9847,9.8421
Sondershausen,21317,51.3692,10.8711
Sonneberg,23507,50.3602,11.1710
Sonthofen,21859,47.5161,10.2809
Speyer,51368,49.3173,8.4412
Spremberg,21585,51.5696,14.3768
Springe,29113,52.2108,9.5531
Sprockhövel,24838,51.3640,7.2469
St. Ingbert,35216,49.2774,7.1119
St. Wendel,25583,49.4678,7.1691
Stade,48353,53.5929,9.4709
Stadtallendorf,21552,50.8219,9.0202
Stadthagen,22643,52.3252,9.1998
Stadtlohn,20807,51.9921,6.9138
Starnberg,23741,48.0000,11.3390
Staßfurt,24293,51.846,11.58
Steinfurt,35102,52.1446,7.3335
Steinhagen,20671,52.0049,8.4151
Stendal,39105,52.6041,11.8518
Stolberg,56455,50.7731,6.2252
Stralsund,59363,54.3091,13.0770
Straubing,49164,48.8777,12.5802
Strausberg,27344,52.5659,13.8778
Stuhr,33952,53.0290,8.7361
Stutensee,25204,49.0648,8.4695
Stuttgart,632865,48.7758,9.1829
Suhl,37009,50.6077,10.6881
Sundern,27741,51.3254,8.0035
Syke,24810,52.9127,8.8181
